"area_type","location","Society","size","Baths","total_sqft","price","availability","",""
"","Bibwewadi","","3 bhk","3","1610","81","","",""
"","Sinhgad Road","","2 bhk","2","1151","48.77","","",""
"","Swargate","","3 bhk","2","1025","47","","",""
"","Swargate","","4 bhk","4","2100 - 2850","186","","",""
"","Swargate","","3 bhk","2","1075","35","","",""
"","Hadapsar","","3 bhk","2","1760","123","","",""
"","Sinhgad Road","","3 bhk","3","1693","57.39","","",""
"","Sinhgad Road","","3 bhk","3","1925","125","","",""
"","Koregaon Park","","2 bhk","2","700","36","","",""
"","Swargate","","2 bhk","2","1070","45.5","","",""
"","Karve Nagar","","3 bhk","3","1724","125","","",""
"","Karve Nagar","","3 bhk","2","1290","56.12","","",""
"","AB Chowk","","2 bhk","2","1143","45","","",""
"","Katraj","","2 bhk","2","1296","81","","",""
"","AB Chowk","","3 bhk","3","1254","38","","",""
"","AB Chowk","","1 bhk","1","600","38","","",""
"","Dhankawadi","","1 bhk","1","660","48","","",""
"","Kondhwa","","2 bhk","2","1330.74","91.79","","",""
"","Kondhwa","","8 bhk","9","600","200","","",""
"","Kondhwa","","2 bhk","2","970","33","","",""
"","Koregaon Park","","2 bhk","2","1459","94.82","","",""
"","Kothrud","","2 bhk","1","800","130","","",""
"","Katraj","","2 bhk","2","869","36","","",""
"","Shivaji Nagar","","2 bhk","2","1270","50","","",""
"","Katraj","","3 bhk","3","1670","99","","",""
"","Katraj","","3 bhk","3","2010","91","","",""
"","Katraj","","2 bhk","2","1185","75","","",""
"","Katraj","","3 bhk","2","1600","75","","",""
"","Market yard","","2 bhk","2","1200","44","","",""
"","Model colony","","4 bhk","","3010 - 3410","192","","",""
"","Swargate","","2 bhk","2","1500","185","","",""
"","Swargate","","6 bhk","4","1407","150","","",""
"","Swargate","","2 bhk","2","840","45","","",""
"","Swargate","","3 bhk","3","4395","240","","",""
"","Swargate","","2 bhk","2","845","55","","",""
"","Balaji Nagar","","4 bhk","5","5700","650","","",""
"","Balaji Nagar","","2 bhk","2","1160","44","","",""
"","Padmavati","","8 bhk","8","3000","140","","",""
"","Balaji Nagar","","2 bhk","2","1100","62","","",""
"","Swargate","","2 bhk","2","1140","43","","",""
"","Swargate","","2 bhk","2","1220","57","","",""
"","Swargate","","8 bhk","7","1350","85","","",""
"","Koregaon Park","","2 bhk","2","1005","36.68","","",""
"","Pune Railway Station","","3 bhk","3","500","100","","",""
"","Koregaon Park","","2 bhk","2","1358","80.58","","",""
"","Koregaon Park","","3 bhk","3","1569","101","","",""
"","Koregaon Park","","2 bhk","2","1240","70","","",""
"","Sahakar Nagar","","3 bhk","3","2089","140","","",""
"","Dhankawadi","","2 bhk","2","1206","48.23","","",""
"","Dhankawadi","","2 bhk","2","1150","40","","",""
"","Katraj","","3 bhk","3","2511","205","","",""
"","Sinhgad Road","","2 bhk","1","460","22","","",""
"","Shivaji Nagar","","6 bhk","6","4400","250","","",""
"","Shivaji Nagar","","3 bhk","2","1660","105","","",""
"","Shivaji Nagar","","4 bhk","","2957 - 3450","224.5","","",""
"","Sinhgad Road","","2 bhk","2","1326","78","","",""
"","Shivaji Nagar","","3 bhk","2","1325","60.8","","",""
"","Swargate","","3 bhk","5","1499","102","","",""
"","Shivaji Nagar","","6 bhk","7","3000","210","","",""
"","Shivaji Nagar","","3 bhk","3","1665","88","","",""
"","Shivaji Nagar","","2 bhk","2","708","37","","",""
"","Hadapsar","","2 bhk","2","1060","58.06","","",""
"","Shivaji Nagar","","6 bhk","6","710","160","","",""
"","Shivaji Nagar","","2 bhk","2","1000","70","","",""
"","Hadapsar","","2 bhk","2","1000","28.88","","",""
"","Hadapsar","","3 bhk","2","1450","70","","",""
"","Koregaon Park","","4 bhk","4","1200","155","","",""
"","Sinhgad Road","","2 bhk","2","1296","80","","",""
"","Sinhgad Road","","3 bhk","3","1540","90","","",""
"","Bibwewadi","","4 bhk","4","2894","245","","",""
"","Ambegaon","","3 bhk","2","1330","48","","",""
"","Ambegaon","","2 bhk","2","1200","65","","",""
"","Amanora Town","","3 bhk","3","1200","90","","",""
"","Amanora Town","","3 bhk","3","2502","138","","",""
"","Balaji Nagar","","2 bhk","1","650","17","","",""
"","Baner","","3 bhk","2","2400","150","","",""
"","Baner","","2 bhk","2","1007","43","","",""
"","Baner","","2 bhk","2","1200","50","","",""
"","Baner","","2 bhk","2","966","49.9","","",""
"","Bibwewadi","","3 bhk","2","1630","98","","",""
"","Bibwewadi","","3 bhk","3","1640","229","","",""
"","Budhwar Peth","","2 bhk","2","782","55.68","","",""
"","Bund Garden","","2 bhk","2","1260","66.78","","",""
"","Camp","","3 bhk","3","1800","120","","",""
"","Bibwewadi","","3 bhk","2","1413","75","","",""
"","Dhankawadi","","2 bhk","2","1116","51.91","","",""
"","Deccan Gymkhana","","3 bhk","2","1530","45.9","","",""
"","Bibwewadi","","4 bhk","4","3700","225","","",""
"","Dhankawadi","","3 bhk","3","2497","140","","",""
"","Dhankawadi","","3 bhk","2","1540","64","","",""
"","Bibwewadi","","3 bhk","3","1436","74.75","","",""
"","Karve Nagar","","2 bhk","2","1100","75","","",""
"","Katraj","","2 bhk","3","276","23","","",""
"","FC Road","","3 bhk","3","1427","120","","",""
"","Katraj","","3 bhk","3","2061","200","","",""
"","FC Road","","4 bhk","4","3067 - 8156","477","","",""
"","Bibwewadi","","4 bhk","4","2650","150","","",""
"","FC Road","","3 bhk","2","1282","68.52","","",""
"","Swargate","","2 bhk","2","1050","34","","",""
"","Swargate","","3 bhk","3","1600","65","","",""
"","Swargate","","2 bhk","2","945","54","","",""
"","Hadapsar","","2 bhk","2","1500","78","","",""
"","Sinhgad Road","","7 bhk","7","950","115","","",""
"","Sinhgad Road","","3 bhk","3","1870","110","","",""
"","Koregaon Park","","3 bhk","3","1600","75","","",""
"","Swargate","","2 bhk","1","880","16.5","","",""
"","Karve Nagar","","4 bhk","4","1200","210","","",""
"","Karve Nagar","","3 bhk","3","1535","83","","",""
"","AB Chowk","","2 bhk","2","950","57","","",""
"","Katraj","","2 bhk","2","1360","65","","",""
"","AB Chowk","","2 bhk","2","1042 - 1105","54.005","","",""
"","AB Chowk","","3 bhk","3","1280","50.4","","",""
"","Dhankawadi","","3 bhk","2","1260","85.05","","",""
"","Kondhwa","","8 bhk","8","5000","250","","",""
"","Kondhwa","","5 bhk","5","3050","213","","",""
"","Kondhwa","","3 bhk","3","1563.05","105","","",""
"","Koregaon Park","","2 bhk","2","1000","60","","",""
"","Kothrud","","2 bhk","2","1167","43.76","","",""
"","Katraj","","7 bhk","7","4000","225","","",""
"","Shivaji Nagar","","3 bhk","3","1828","110","","",""
"","Katraj","","2 bhk","2","890","35","","",""
"","Katraj","","3 bhk","3","1612","46.74","","",""
"","Katraj","","6 bhk","5","1034","185","","",""
"","Katraj","","3 bhk","4","1710","91.31","","",""
"","Market yard","","2 bhk","2","957","58","","",""
"","Model colony","","3 bhk","2","1250","44","","",""
"","Swargate","","3 bhk","4","2795","235","","",""
"","Swargate","","2 bhk","2","1125","50","","",""
"","Swargate","","2 bhk","2","1020","30.6","","",""
"","Swargate","","2 bhk","2","1200","50","","",""
"","Swargate","","3 bhk","3","1735","135","","",""
"","Balaji Nagar","","3 bhk","3","2050","145","","",""
"","Balaji Nagar","","4 bhk","4","3750","760","","",""
"","Padmavati","","3 bhk","2","1350","48","","",""
"","Balaji Nagar","","2 bhk","2","1063","32","","",""
"","Swargate","","3 bhk","3","1904","150","","",""
"","Swargate","","4 bhk","4","4200","420","","",""
"","Swargate","","3 bhk","3","2000","175","","",""
"","Koregaon Park","","2 bhk","2","1145 - 1340","43.49","","",""
"","Pune Railway Station","","3 bhk","2","1425","75","","",""
"","Koregaon Park","","3 bhk","2","1500","64.5","","",""
"","Koregaon Park","","2 bhk","2","1060","60","","",""
"","Koregaon Park","","3 bhk","2","1470","70","","",""
"","Sahakar Nagar","","6 bhk","6","1300","99","","",""
"","Dhankawadi","","1 bhk","1","450","11","","",""
"","Dhankawadi","","2 bhk","2","1152","64.5","","",""
"","Katraj","","3 bhk","2","1350","56","","",""
"","Sinhgad Road","","3 bhk","3","1550","65","","",""
"","Shivaji Nagar","","3 bhk","3","1500","100","","",""
"","Shivaji Nagar","","5 bhk","3","600","85","","",""
"","Shivaji Nagar","","1 bhk","1","400","14","","",""
"","Sinhgad Road","","1 bhk","1","705","67","","",""
"","Shivaji Nagar","","2 bhk","1","770","36","","",""
"","Swargate","","2 bhk","2","1242","51","","",""
"","Shivaji Nagar","","3 bhk","3","1700","155","","",""
"","Shivaji Nagar","","3 bhk","3","2144","145","","",""
"","Shivaji Nagar","","3 bhk","3","1704","110","","",""
"","Hadapsar","","2 bhk","2","1070","52","","",""
"","Shivaji Nagar","","3 bhk","3","1846","300","","",""
"","Shivaji Nagar","","2 bhk","2","1340","55.7","","",""
"","Hadapsar","","2 bhk","2","1025","46","","",""
"","Hadapsar","","2 bhk","2","1015 - 1540","56.8","","",""
"","Koregaon Park","","2 bhk","2","1200","52","","",""
"","Sinhgad Road","","4 bhk","4","2250","110","","",""
"","Sinhgad Road","","3 bhk","2","1550","80","","",""
"","Bibwewadi","","4 bhk","5","1200","325","","",""
"","Ambegaon","","7 bhk","7","1800","250","","",""
"","Ambegaon","","2 bhk","2","1200","60","","",""
"","Amanora Town","","2 bhk","2","1327","98","","",""
"","Amanora Town","","2 bhk","2","1186","58","","",""
"","Balaji Nagar","","3 bhk","3","1783","115","","",""
"","Baner","","3 bhk","3","1400","56","","",""
"","Baner","","2 bhk","2","980","48","","",""
"","Baner","","2 bhk","2","1285","82","","",""
"","Baner","","3 bhk","2","912","70","","",""
"","Bibwewadi","","2 bhk","2","1225","47.6","","",""
"","Bibwewadi","","2 bhk","2","1075","53","","",""
"","Budhwar Peth","","3 bhk","2","1260","54","","",""
"","Bund Garden","","3 bhk","2","1282","48.7","","",""
"","Camp","","3 bhk","3","1909","88","","",""
"","Bibwewadi","","2 bhk","2","1359","87","","",""
"","Dhankawadi","","2 bhk","2","1207","43.5","","",""
"","Deccan Gymkhana","","4 bhk","6","1736","190","","",""
"","Bibwewadi","","4 bhk","4","2850","428","","",""
"","Dhankawadi","","3 bhk","3","1595","65","","",""
"","Dhankawadi","","3 bhk","3","1798","89","","",""
"","Bibwewadi","","3 bhk","3","1475","78.29","","",""
"","Karve Nagar","","3 bhk","3","1580","100","","",""
"","Katraj","","2 bhk","2","1295","65","","",""
"","FC Road","","6 bhk","6","3600","141","","",""
"","Katraj","","1 bhk","1","589","27","","",""
"","FC Road","","3 bhk","3","1415","78","","",""
"","Bibwewadi","","3 bhk","3","1787","98.29","","",""
"","FC Road","","3 bhk","3","1787","125","","",""
"","Swargate","","3 bhk","2","1475","90","","",""
"","Swargate","","4 bhk","4","2000","75.5","","",""
"","Swargate","","2 bhk","2","984","44.28","","",""
"","Hadapsar","","3 bhk","","1520 - 1740","74.82","","",""
"","Sinhgad Road","","3 bhk","4","2405","260","","",""
"","Sinhgad Road","","2 bhk","2","1080","72","","",""
"","Koregaon Park","","2 bhk","2","1500","115","","",""
"","Swargate","","3 bhk","3","1900","119","","",""
"","Karve Nagar","","2 bhk","2","805","22.14","","",""
"","Karve Nagar","","2 bhk","2","1153","56.4","","",""
"","AB Chowk","","2 bhk","2","1148","60","","",""
"","Katraj","","2 bhk","2","1110","55","","",""
"","AB Chowk","","2 bhk","2","1100","42","","",""
"","AB Chowk","","2 bhk","2","1290","110","","",""
"","Dhankawadi","","3 bhk","2","1500","65","","",""
"","Kondhwa","","2 bhk","2","1080","39","","",""
"","Kondhwa","","3 bhk","3","1933","129","","",""
"","Kondhwa","","5 bhk","5","3500","150","","",""
"","Koregaon Park","","2 bhk","2","1060","60","","",""
"","Kothrud","","1 bhk","1","645","16.45","","",""
"","Katraj","","8 bhk","8","2600","180","","",""
"","Shivaji Nagar","","1 bhk","1","645","16.45","","",""
"","Katraj","","3 bhk","3","1644","84","","",""
"","Katraj","","2 bhk","2","1285","72.5","","",""
"","Katraj","","3 bhk","3","1200","90","","",""
"","Katraj","","2 bhk","2","910","40","","",""
"","Market yard","","3 bhk","3","1577","70","","",""
"","Model colony","","3 bhk","3","4050","280","","",""
"","Swargate","","3 bhk","3","2420","185","","",""
"","Swargate","","2 bhk","1","800","20","","",""
"","Swargate","","2 bhk","2","1060","55","","",""
"","Swargate","","2 bhk","2","1270","93","","",""
"","Swargate","","2 bhk","2","900","22.5","","",""
"","Balaji Nagar","","2 bhk","2","1280","69","","",""
"","Balaji Nagar","","4 bhk","2","1200","95","","",""
"","Padmavati","","2 bhk","2","1025","36","","",""
"","Balaji Nagar","","2 bhk","2","1108","63","","",""
"","Swargate","","5 bhk","5","1200","170","","",""
"","Swargate","","3 bhk","3","3045","170","","",""
"","Swargate","","4 bhk","3","2900","300","","",""
"","Koregaon Park","","3 bhk","3","1500","75.5","","",""
"","Pune Railway Station","","2 bhk","2","1295","43.9","","",""
"","Koregaon Park","","2 bhk","2","1162","59.9","","",""
"","Koregaon Park","","2 bhk","2","1035","49.2","","",""
"","Koregaon Park","","4 bhk","4","1600","52.8","","",""
"","Sahakar Nagar","","3 bhk","3","1464","46","","",""
"","Dhankawadi","","3 bhk","2","1866","61.58","","",""
"","Dhankawadi","","2 bhk","1","700","26","","",""
"","Katraj","","3 bhk","3","1804","120","","",""
"","Sinhgad Road","","2 bhk","2","913","32","","",""
"","Shivaji Nagar","","3 bhk","3","1868","131","","",""
"","Shivaji Nagar","","2 bhk","2","883","45","","",""
"","Shivaji Nagar","","2 bhk","2","900","110","","",""
"","Sinhgad Road","","3 bhk","2","1664","73.95","","",""
"","Shivaji Nagar","","3 bhk","3","2026","132","","",""
"","Swargate","","2 bhk","2","1210","80.9","","",""
"","Shivaji Nagar","","4 bhk","4","4111","250","","",""
"","Shivaji Nagar","","3 bhk","3","1762","91.45","","",""
"","Shivaji Nagar","","3 bhk","3","1252","55","","",""
"","Hadapsar","","2 bhk","2","861","34.5","","",""
"","Shivaji Nagar","","3 bhk","2","1420","100","","",""
"","Shivaji Nagar","","6 bhk","6","1450","250","","",""
"","Hadapsar","","3 bhk","3","1490","78.8","","",""
"","Hadapsar","","3 bhk","2","1075","46","","",""
"","Koregaon Park","","3 bhk","2","1425","94","","",""
"","Sinhgad Road","","2 bhk","2","1200","40","","",""
"","Sinhgad Road","","3 bhk","2","1280","56","","",""
"","Bibwewadi","","2 bhk","2","1084","50","","",""
"","Ambegaon","","2 bhk","2","1015","25.88","","",""
"","Ambegaon","","2 bhk","2","1017","51.25","","",""
"","Amanora Town","","2 bhk","2","1027","44","","",""
"","Amanora Town","","2 bhk","2","1069","45","","",""
"","Balaji Nagar","","2 bhk","2","1349","98.2","","",""
"","Baner","","2 bhk","2","1005","50","","",""
"","Baner","","2 bhk","2","1417","75","","",""
"","Baner","","3 bhk","3","1475","98","","",""
"","Baner","","2 bhk","2","950","47","","",""
"","Bibwewadi","","4 bhk","4","2000","120","","",""
"","Bibwewadi","","3 bhk","3","880","140","","",""
"","Budhwar Peth","","4 bhk","3","1863","104","","",""
"","Bund Garden","","2 bhk","2","1010","29.5","","",""
"","Camp","","3 bhk","2","1425","70","","",""
"","Bibwewadi","","3 bhk","3","1450","100","","",""
"","Dhankawadi","","3 bhk","3","1847","105","","",""
"","Deccan Gymkhana","","2 bhk","2","1100","45","","",""
"","Bibwewadi","","1 bhk","1","525","26","","",""
"","Dhankawadi","","3 bhk","3","1665","95","","",""
"","Dhankawadi","","4 bhk","4","1664","65","","",""
"","Bibwewadi","","3 bhk","3","1850","150","","",""
"","Karve Nagar","","2 bhk","2","1438","100","","",""
"","Katraj","","3 bhk","3","1560","115","","",""
"","FC Road","","2 bhk","2","1350","55.55","","",""
"","Katraj","","3 bhk","3","1550","67","","",""
"","FC Road","","2 bhk","2","1140","46.5","","",""
"","Bibwewadi","","5 bhk","5","1200","180","","",""
"","FC Road","","2 bhk","2","850","27","","",""
"","Swargate","","2 bhk","2","1280","75","","",""
"","Swargate","","2 bhk","2","1170","52","","",""
"","Swargate","","2 bhk","2","1113","51","","",""
"","Hadapsar","","2 bhk","2","1385","83.09","","",""
"","Sinhgad Road","","2 bhk","2","1128","65","","",""
"","Sinhgad Road","","2 bhk","2","1200","128","","",""
"","Koregaon Park","","4 bhk","4","1200","165","","",""
"","Swargate","","3 bhk","3","2390","415","","",""
"","Karve Nagar","","4 bhk","4","2400","400","","",""
"","Karve Nagar","","3 bhk","3","1464","56","","",""
"","AB Chowk","","2 bhk","2","1200","55","","",""
"","Katraj","","2 bhk","2","1200","52","","",""
"","AB Chowk","","3 bhk","2","1150","55","","",""
"","AB Chowk","","3 bhk","3","1645","95","","",""
"","Dhankawadi","","2 bhk","2","1000","67","","",""
"","Kondhwa","","4 bhk","4","2650","198","","",""
"","Kondhwa","","2 bhk","2","1192","74","","",""
"","Kondhwa","","3 bhk","3","2135","215","","",""
"","Koregaon Park","","2 bhk","2","1173","58","","",""
"","Kothrud","","2 bhk","2","1020","45","","",""
"","Katraj","","4 bhk","6","3122","230","","",""
"","Shivaji Nagar","","3 bhk","3","1600","64","","",""
"","Katraj","","2 bhk","2","1200","79","","",""
"","Katraj","","2 bhk","2","1230","48","","",""
"","Katraj","","2 bhk","2","1250","40","","",""
"","Katraj","","2 bhk","2","1325","76","","",""
"","Market yard","","3 bhk","3","1850","150","","",""
"","Model colony","","1 bhk","","525","21.53","","",""
"","Swargate","","2 bhk","2","1200","65","","",""
"","Swargate","","3 bhk","2","1350","140","","",""
"","Swargate","","3 bhk","3","1260","49.36","","",""
"","Swargate","","3 bhk","3","1800","150","","",""
"","Swargate","","3 bhk","3","11","74","","",""
"","Balaji Nagar","","2 bhk","2","1100","43.25","","",""
"","Balaji Nagar","","2 bhk","2","1508","77","","",""
"","Padmavati","","3 bhk","3","1592","75","","",""
"","Balaji Nagar","","2 bhk","2","1388","57","","",""
"","Swargate","","1 bhk","1","630","28.35","","",""
"","Swargate","","3 bhk","3","2000","365","","",""
"","Swargate","","3 bhk","3","1762","125","","",""
"","Koregaon Park","","2 bhk","2","950","50","","",""
"","Pune Railway Station","","4 bhk","5","3252","335","","",""
"","Koregaon Park","","2 bhk","2","1116","50","","",""
"","Koregaon Park","","2 bhk","2","1308","89.04","","",""
"","Koregaon Park","","3 bhk","3","1200","90","","",""
"","Sahakar Nagar","","4 bhk","4","1500","230","","",""
"","Dhankawadi","","1 bhk","1","500","18.5","","",""
"","Dhankawadi","","2 bhk","2","1075","52","","",""
"","Katraj","","1 bhk","1","530","11.66","","",""
"","Sinhgad Road","","2 bhk","2","1205","66","","",""
"","Shivaji Nagar","","2 bhk","2","1075","60","","",""
"","Shivaji Nagar","","2 bhk","2","930","39","","",""
"","Shivaji Nagar","","2 bhk","2","1380","60","","",""
"","Sinhgad Road","","4 bhk","5","2483","212","","",""
"","Shivaji Nagar","","2 bhk","2","1166","55","","",""
"","Swargate","","2 bhk","2","1050","65","","",""
"","Shivaji Nagar","","3 bhk","3","2023.71","275","","",""
"","Shivaji Nagar","","2 bhk","2","1200","46.8","","",""
"","Shivaji Nagar","","3 bhk","2","1600","108","","",""
"","Hadapsar","","3 bhk","3","1935","110","","",""
"","Shivaji Nagar","","1 bhk","1","451","29.9","","",""
"","Shivaji Nagar","","3 bhk","3","1800","95","","",""
"","Hadapsar","","3 bhk","3","1400","77","","",""
"","Hadapsar","","3 bhk","3","1801","115","","",""
"","Koregaon Park","","2 bhk","2","1451","90","","",""
"","Sinhgad Road","","2 bhk","1","1200","36","","",""
"","Sinhgad Road","","2 bhk","2","1160","44","","",""
"","Bibwewadi","","2 bhk","2","1000","25","","",""
"","Ambegaon","","2 bhk","2","950","40","","",""
"","Ambegaon","","3 bhk","3","1629","79","","",""
"","Amanora Town","","3 bhk","2","1580","134","","",""
"","Amanora Town","","3 bhk","3","1826","121","","",""
"","Balaji Nagar","","2 bhk","2","1245","94","","",""
"","Baner","","2 bhk","2","1145","45.79","","",""
"","Baner","","2 bhk","2","825","33","","",""
"","Baner","","3 bhk","3","1693","108","","",""
"","Baner","","2 bhk","2","1113.27","53","","",""
"","Bibwewadi","","2 bhk","2","1460","58","","",""
"","Bibwewadi","","2 bhk","2","1050","32","","",""
"","Budhwar Peth","","2 bhk","2","1260","55","","",""
"","Bund Garden","","6 bhk","3","700","120","","",""
"","Camp","","2 bhk","2","1656","120","","",""
"","Bibwewadi","","3 bhk","3","1208","45","","",""
"","Dhankawadi","","3 bhk","3","1910","161","","",""
"","Deccan Gymkhana","","4 bhk","4","3252","230","","",""
"","Bibwewadi","","2 bhk","2","1200","65","","",""
"","Dhankawadi","","4 bhk","4","1200","175","","",""
"","Dhankawadi","","2 bhk","2","1175","82","","",""
"","Bibwewadi","","2 bhk","2","1000","165","","",""
"","Karve Nagar","","4 bhk","2","1200","125","","",""
"","Katraj","","3 bhk","3","2390","410","","",""
"","FC Road","","7 bhk","6","12000","2200","","",""
"","Katraj","","2 bhk","1","550","62","","",""
"","FC Road","","1 bhk","1","350","18.5","","",""
"","Bibwewadi","","2 bhk","2","1185","38","","",""
"","FC Road","","2 bhk","2","750","38","","",""
"","Swargate","","6 bhk","7","1200","250","","",""
"","Swargate","","3 bhk","3","1550","64.5","","",""
"","Swargate","","3 bhk","3","1760","88","","",""
"","Hadapsar","","2 bhk","2","1125","62","","",""
"","Sinhgad Road","","3 bhk","3","1350","150","","",""
"","Sinhgad Road","","2 bhk","2","1000","55","","",""
"","Koregaon Park","","2 bhk","2","1090","31.48","","",""
"","Swargate","","2 bhk","2","1200","60","","",""
"","Karve Nagar","","3 bhk","4","1991","103","","",""
"","Karve Nagar","","2 bhk","2","1060","26.5","","",""
"","AB Chowk","","2 bhk","2","1105","75","","",""
"","Katraj","","2 bhk","2","985","67","","",""
"","AB Chowk","","6 bhk","5","1533","85","","",""
"","AB Chowk","","3 bhk","3","1590","79","","",""
"","Dhankawadi","","2 bhk","2","1120","55","","",""
"","Kondhwa","","2 bhk","2","1069","55","","",""
"","Kondhwa","","3 bhk","3","1933","140","","",""
"","Kondhwa","","2 bhk","2","1194","69","","",""
"","Koregaon Park","","2 bhk","2","1150","69","","",""
"","Kothrud","","2 bhk","2","1240","47.12","","",""
"","Katraj","","2 bhk","2","1419","48.1","","",""
"","Shivaji Nagar","","8 bhk","8","1200","250","","",""
"","Katraj","","3 bhk","4","2150","240","","",""
"","Katraj","","3 bhk","3","1450","55","","",""
"","Katraj","","3 bhk","3","1630","68.29","","",""
"","Katraj","","2 bhk","1","708","40","","",""
"","Market yard","","3 bhk","4","1000","110","","",""
"","Model colony","","4 bhk","4","11890","700","","",""
"","Swargate","","2 bhk","2","1250","76","","",""
"","Swargate","","3 bhk","2","1400","95","","",""
"","Swargate","","3 bhk","2","1670","57","","",""
"","Swargate","","3 bhk","3","1750","100","","",""
"","Swargate","","2 bhk","2","1404","71","","",""
"","Balaji Nagar","","3 bhk","2","1715","95","","",""
"","Balaji Nagar","","1 bhk","1","630","34.65","","",""
"","Padmavati","","3 bhk","3","1752.12","135","","",""
"","Balaji Nagar","","3 bhk","3","1650","78","","",""
"","Swargate","","2 bhk","2","1295","55.47","","",""
"","Swargate","","3 bhk","3","1800","252","","",""
"","Swargate","","2 bhk","2","1346","74.03","","",""
"","Koregaon Park","","4 bhk","4","1200","200","","",""
"","Pune Railway Station","","2 bhk","2","1150","55","","",""
"","Koregaon Park","","4 bhk","4","3309","325","","",""
"","Koregaon Park","","3 bhk","2","1190","30.35","","",""
"","Koregaon Park","","3 bhk","3","1620","98","","",""
"","Sahakar Nagar","","2 bhk","2","950","46.96","","",""
"","Dhankawadi","","11 bhk","9","5000","360","","",""
"","Dhankawadi","","3 bhk","3","2450","120","","",""
"","Katraj","","3 bhk","2","1220","35.23","","",""
"","Sinhgad Road","","2 bhk","2","850","30","","",""
"","Shivaji Nagar","","2 bhk","2","1020","63","","",""
"","Shivaji Nagar","","2 bhk","2","1100","50","","",""
"","Shivaji Nagar","","2 bhk","2","1150","126","","",""
"","Sinhgad Road","","3 bhk","2","1760","130","","",""
"","Shivaji Nagar","","3 bhk","3","1800","110","","",""
"","Swargate","","2 bhk","2","1070","54","","",""
"","Shivaji Nagar","","4 bhk","4","1500","220","","",""
"","Shivaji Nagar","","2 bhk","2","1440","95","","",""
"","Shivaji Nagar","","2 bhk","2","900","40","","",""
"","Hadapsar","","4 bhk","4","1200","230","","",""
"","Shivaji Nagar","","2 bhk","2","1130","42.16","","",""
"","Shivaji Nagar","","2 bhk","2","1320","165","","",""
"","Hadapsar","","2 bhk","2","1270","98","","",""
"","Hadapsar","","2 bhk","2","1200","62","","",""
"","Koregaon Park","","4 bhk","4","4800","235","","",""
"","Sinhgad Road","","2 bhk","2","1200","74","","",""
"","Sinhgad Road","","2 bhk","2","929","50.17","","",""
"","Bibwewadi","","4 bhk","4","1150","260","","",""
"","Ambegaon","","4 bhk","4","1125","180","","",""
"","Ambegaon","","5 bhk","3","500","65","","",""
"","Amanora Town","","5 bhk","5","1200","190","","",""
"","Amanora Town","","3 bhk","3","1464","56","","",""
"","Balaji Nagar","","4 bhk","4","3600","400","","",""
"","Baner","","4 bhk","4","2000","99","","",""
"","Baner","","2 bhk","2","1208","49","","",""
"","Baner","","2 bhk","2","1130","60","","",""
"","Baner","","3 bhk","3","1753","120","","",""
"","Bibwewadi","","5 bhk","7","4500","337","","",""
"","Bibwewadi","","3 bhk","3","600","58","","",""
"","Budhwar Peth","","2 bhk","2","1196","94.42","","",""
"","Bund Garden","","2 bhk","3","1150","52.5","","",""
"","Camp","","2 bhk","2","1128","63","","",""
"","Bibwewadi","","2 bhk","2","1000","53","","",""
"","Dhankawadi","","2 bhk","2","1035","45","","",""
"","Deccan Gymkhana","","2 bhk","2","950","32","","",""
"","Bibwewadi","","3 bhk","2","1075","36","","",""
"","Dhankawadi","","2 bhk","2","1040","48.5","","",""
"","Dhankawadi","","2 bhk","2","720","45","","",""
"","Bibwewadi","","3 bhk","3","1511","95","","",""
"","Karve Nagar","","3 bhk","3","1300","58","","",""
"","Katraj","","3 bhk","3","1545","68.75","","",""
"","FC Road","","1 bhk","2","375","26","","",""
"","Katraj","","2 bhk","2","1062","38","","",""
"","FC Road","","2 bhk","2","1115","40","","",""
"","Bibwewadi","","2 bhk","2","1000","35","","",""
"","FC Road","","2 bhk","2","883","45","","",""
"","Swargate","","2 bhk","2","1195","70","","",""
"","Swargate","","4 bhk","3","1200","165","","",""
"","Swargate","","1 bhk","1","700","41","","",""
"","Hadapsar","","2 bhk","2","1246","67","","",""
"","Sinhgad Road","","4 bhk","4","660","90","","",""
"","Sinhgad Road","","4 bhk","4","8500","145","","",""
"","Koregaon Park","","4 bhk","4","1600","80","","",""
"","Swargate","","4 bhk","5","2805","154","","",""
"","Karve Nagar","","3 bhk","3","1584","65","","",""
"","Karve Nagar","","4 bhk","5","3000","275","","",""
"","AB Chowk","","3 bhk","2","1175","48","","",""
"","Katraj","","3 bhk","3","1595","115","","",""
"","AB Chowk","","2 bhk","2","1353","110","","",""
"","AB Chowk","","3 bhk","3","1599","125","","",""
"","Dhankawadi","","2 bhk","2","1150","70","","",""
"","Kondhwa","","4 bhk","6","5230","465","","",""
"","Kondhwa","","2 bhk","2","1155","42.74","","",""
"","Kondhwa","","1 bhk","2","1200","85","","",""
"","Koregaon Park","","2 bhk","2","1000","25","","",""
"","Kothrud","","4 bhk","4","3000","120","","",""
"","Katraj","","3 bhk","3","1867","160","","",""
"","Shivaji Nagar","","2 bhk","2","1251","47","","",""
"","Katraj","","2 bhk","2","1028","45.5","","",""
"","Katraj","","2 bhk","2","1222","45","","",""
"","Katraj","","3 bhk","2","1170","66","","",""
"","Katraj","","3 bhk","4","2400","245","","",""
"","Market yard","","3 bhk","2","1385","48.48","","",""
